Nama_Daerah,RLS,Kemiskinan,IPM,Kategori_IPM,latitude,longitude
SIMEULUE,9.89,17.69,69.01,Sedang,2.583333,96.083333
ACEH SINGKIL,8.72,19.06,70.75,Tinggi,2.3589459,97.87216
ACEH SELATAN,8.92,12.02,69.1,Sedang,3.3115056,97.3516558
ACEH TENGGARA,10.1,11.99,71.7,Tinggi,3.3088666,97.6982272
ACEH TIMUR,8.48,13.26,69.87,Sedang,5.255443,95.9885456
ACEH TENGAH,10.03,14.27,75.41,Tinggi,4.4482641,96.8350999
ACEH BARAT,9.99,17.6,73.69,Tinggi,4.4542745,96.1526985
ACEH BESAR,10.37,13.21,75.13,Tinggi,5.4529168,95.4777811
PIDIE,9.04,18.59,72.31,Tinggi,5.0742659,95.940971
BIREUEN,9.59,12.1,74.45,Tinggi,5.18254,96.89005
ACEH UTARA,9.11,16.11,71.7,Tinggi,4.9786331,97.2221421
ACEH BARAT DAYA,8.78,15.32,68.75,Sedang,3.0512643,97.3368031
GAYO LUES,8.44,18.3,69.83,Sedang,3.955165,97.3516558
ACEH TAMIANG,9.3,12.17,72.32,Tinggi,4.2328871,98.0028892
NAGAN RAYA,9.25,16.94,71.72,Tinggi,4.1248406,96.4929797
ACEH JAYA,9.02,12.25,71.83,Tinggi,4.7873684,95.6457951
BENER MERIAH,10.13,18.18,75.01,Tinggi,4.7748348,97.0068393
PIDIE JAYA,9.59,18.28,75.16,Tinggi,5.1548063,96.195132
KOTA BANDA ACEH,13.1,6.95,87.17,Sangat Tinggi,5.55,95.3166667
KOTA SABANG,11.22,14.58,78.32,Tinggi,5.8946929,95.3192982
KOTA LANGSA,11.28,10.33,78.81,Tinggi,4.48,97.9633333
KOTA LHOKSEUMAWE,11.31,10.44,79.55,Tinggi,5.1880556,97.1402778
KOTA SUBULUSSALAM,8.43,16.38,68.04,Sedang,2.6449927,98.0165205
NIAS,6.4,14.89,65.55,Sedang,-8.1712591,113.7111274
MANDAILING NATAL,9.11,8.69,69.33,Sedang,0.7432372,99.3673084
TAPANULI SELATAN,9.56,6.92,72.14,Tinggi,1.5774933,99.2785583
TAPANULI TENGAH,8.92,11.8,71.52,Tinggi,1.8493299,98.704075
TAPANULI UTARA,10.31,8.21,75.23,Tinggi,2.0405246,99.1013498
TOBA SAMOSIR,10.77,8.07,76.91,Tinggi,2.3502398,99.2785583
LABUHAN BATU,9.5,7.84,74.18,Tinggi,2.3439863,100.1703257
ASAHAN,8.85,8.12,72.09,Tinggi,2.8174722,99.634135
SIMALUNGUN,9.73,7.72,74.97,Tinggi,2.9781612,99.2785583
DAIRI,9.89,7.1,73.92,Tinggi,2.8675801,98.265058
KARO,10.12,7.37,76.55,Tinggi,3.1052909,98.265058
DELI SERDANG,10.29,3.44,76.92,Tinggi,3.4201802,98.704075
LANGKAT,8.74,9.04,72.73,Tinggi,3.8653916,98.3088441
NIAS SELATAN,6.52,16.32,65.02,Sedang,0.7086091,97.8286368
HUMBANG HASUNDUTAN,10.13,8.44,71.59,Tinggi,2.1988508,98.5721016
PAKPAK BHARAT,9.73,6.87,70.36,Tinggi,2.545786,98.299838
SAMOSIR,9.61,11.63,72.88,Tinggi,2.5833333,98.8166667
SERDANG BEDAGAI,9.12,6.97,72.47,Tinggi,3.3371694,99.0571089
BATU BARA,8.51,10.94,70.83,Tinggi,3.1740979,99.5006143
PADANG LAWAS UTARA,9.82,8.97,72.32,Tinggi,1.5758644,99.634135
PADANG LAWAS,9.63,7.87,71.27,Tinggi,1.1186977,99.8124935
LABUHAN BATU SELATAN,9.19,7.73,73.67,Tinggi,1.8799353,100.1703257
LABUHAN BATU UTARA,9.14,8.98,74.4,Tinggi,2.3465638,99.8124935
NIAS UTARA,7.05,21.5,65.62,Sedang,1.1255279,97.5247243
NIAS BARAT,7.26,22.68,64.67,Sedang,1.1255279,97.5247243
KOTA SIBOLGA,10.45,11.39,75.66,Tinggi,1.7403745,98.7827988
KOTA TANJUNG BALAI,9.69,11.97,71.1,Tinggi,2.965122,99.800331
KOTA PEMATANG SIANTAR,11.82,7.2,81.17,Sangat Tinggi,2.96,99.06
KOTA TEBING TINGGI,10.87,8.79,77.45,Tinggi,3.3856205,99.2009815
KOTA MEDAN,11.79,7.94,82.76,Sangat Tinggi,3.585242,98.6755979
KOTA BINJAI,11.2,4.75,78.1,Tinggi,3.594462,98.482246
KOTA PADANGSIDIMPUAN,11.13,6.23,76.96,Tinggi,1.380424,99.273972
KOTA GUNUNGSITOLI,8.76,14.72,71.41,Tinggi,1.281964,97.61594
KEPULAUAN MENTAWAI,8.03,13.89,63.99,Sedang,-1.426001,98.9245343
PESISIR SELATAN,8.81,7.49,72.02,Tinggi,-1.7223147,100.8903099
SOLOK,7.91,7.31,71.02,Tinggi,-0.803027,100.644402
SIJUNJUNG,8.62,5.78,70.23,Tinggi,-0.6881586,100.997658
TANAH DATAR,9.29,4.28,74.9,Tinggi,-0.4797043,100.5746224
PADANG PARIAMAN,8.42,6.27,73.1,Tinggi,-0.5546757,100.2151578
AGAM,9.23,6.83,74.66,Tinggi,-0.2209392,100.1703257
LIMA PULUH KOTA,8.13,6.92,71.14,Tinggi,3.168216,99.4187929
PASAMAN,8.14,6.74,68.89,Sedang,0.1288752,99.7901781
SOLOK SELATAN,8.85,6.56,71.5,Tinggi,-1.4157329,101.2523792
DHARMASRAYA,8.98,5.32,74.06,Tinggi,-1.1120568,101.6157773
PASAMAN BARAT,8.99,7.0,70.93,Tinggi,0.2213005,99.634135
KOTA PADANG,11.63,4.06,83.99,Sangat Tinggi,-0.95,100.3530556
KOTA SOLOK,11.37,3.07,80.0,Sangat Tinggi,-0.803027,100.644402
KOTA SAWAH LUNTO,10.53,2.33,75.13,Tinggi,-0.6810286,100.7763604
KOTA PADANG PANJANG,12.0,5.31,80.17,Sangat Tinggi,-0.470679,100.4059456
KOTA BUKITTINGGI,11.65,4.08,82.51,Sangat Tinggi,-0.3055556,100.3691667
KOTA PAYAKUMBUH,10.89,5.19,80.61,Sangat Tinggi,-0.22887,100.632301
KOTA PARIAMAN,11.06,4.26,78.88,Tinggi,-0.6264389,100.1179574
KUANTAN SINGINGI,9.14,7.89,72.33,Tinggi,-0.4411596,101.5248055
INDRAGIRI HULU,8.43,6.02,71.48,Tinggi,-0.7361181,102.2547919
INDRAGIRI HILIR,7.32,5.66,68.38,Sedang,-0.1456733,102.989615
PELALAWAN,8.96,8.49,74.08,Tinggi,0.441415,102.088699
SIAK,9.92,5.08,75.45,Tinggi,-0.789275,113.921327
KAMPAR,9.58,6.92,74.85,Tinggi,0.146671,101.1617356
ROKAN HULU,8.94,9.62,71.82,Tinggi,1.0410934,100.439656
BENGKALIS,9.74,6.36,75.28,Tinggi,1.4897222,102.0797222
ROKAN HILIR,8.53,7.01,71.2,Tinggi,1.6463978,100.8000051
KEPULAUAN MERANTI,8.12,23.15,67.92,Sedang,0.9208765,102.6675575
KOTA PEKANBARU,11.96,3.15,82.89,Sangat Tinggi,0.5333333,101.45
KOTA DUMAI,10.29,3.14,76.19,Tinggi,1.665742,101.447601
KERINCI,8.6,6.93,73.11,Tinggi,-1.697,101.264
MERANGIN,8.4,8.4,71.66,Tinggi,-2.1752789,101.9804613
SAROLANGUN,8.35,8.36,72.01,Tinggi,-2.2654937,102.6905326
BATANG HARI,8.35,8.63,71.67,Tinggi,-1.7083922,103.0817903
MUARO JAMBI,8.7,3.65,71.91,Tinggi,-1.596672,103.615799
TANJUNG JABUNG TIMUR,7.7,10.14,67.54,Sedang,-1.3291599,103.89973
TANJUNG JABUNG BARAT,8.32,9.54,69.93,Sedang,-1.2332122,103.7984428
TEBO,8.04,6.12,71.32,Tinggi,-1.2592999,102.3463875
BUNGO,8.6,5.06,71.92,Tinggi,-1.6401338,101.8891721
KOTA JAMBI,11.51,7.73,81.04,Sangat Tinggi,-1.596672,103.615799
KOTA SUNGAI PENUH,10.48,2.92,77.4,Tinggi,-2.06314,101.387199
OGAN KOMERING ULU,8.86,10.68,71.55,Tinggi,-4.0283486,104.0072348
OGAN KOMERING ILIR,7.19,12.08,69.33,Sedang,-3.4559744,105.2194808
MUARA ENIM,8.27,9.79,71.0,Tinggi,-3.651581,103.770798
LAHAT,8.69,14.14,69.77,Sedang,-3.7863889,103.5427778
MUSI RAWAS,7.57,13.44,68.95,Sedang,-2.8625305,102.989615
MUSI BANYUASIN,7.95,12.88,70.12,Tinggi,-2.5442029,103.7289167
BANYU ASIN,7.48,9.31,69.51,Sedang,-2.6095639,104.7520939
OGAN KOMERING ULU SELATAN,8.25,9.86,67.65,Sedang,-4.6681951,104.0072348
OGAN KOMERING ULU TIMUR,8.08,9.75,71.55,Tinggi,-3.8567934,104.7520939
OGAN ILIR,8.09,12.3,69.4,Sedang,-3.426544,104.6121475
EMPAT LAWANG,7.68,10.78,67.25,Sedang,-3.7286029,102.8975098
PENUKAL ABAB LEMATANG ILIR,7.27,9.82,67.48,Sedang,-3.2145,104.0934
MUSI RAWAS UTARA,7.51,17.38,67.4,Sedang,-2.4925,103.0016
KOTA PALEMBANG,10.93,9.77,80.57,Sangat Tinggi,-2.9911083,104.7567333
KOTA PRABUMULIH,10.36,10.13,77.08,Tinggi,-3.440956,104.235397
KOTA PAGAR ALAM,9.44,8.18,71.19,Tinggi,-4.03767,103.265297
KOTA LUBUKLINGGAU,9.94,11.14,76.82,Tinggi,-3.2966667,102.8616667
BENGKULU SELATAN,9.42,17.1,72.35,Tinggi,-4.3248409,103.035694
REJANG LEBONG,8.81,14.65,72.92,Tinggi,-3.4548154,102.6675575
BENGKULU UTARA,8.32,10.96,71.11,Tinggi,-3.4219555,102.1632718
KAUR,8.47,17.12,68.98,Sedang,-4.6792278,103.4511768
SELUMA,8.14,17.23,68.97,Sedang,-4.0622929,102.5642261
MUKOMUKO,8.57,10.76,70.63,Tinggi,-2.5760003,101.1169805
LEBONG,8.41,10.45,69.27,Sedang,-2.992617,104.382202
KEPAHIANG,8.37,12.9,70.27,Tinggi,-3.651431,102.578201
BENGKULU TENGAH,7.71,10.14,69.84,Sedang,-3.7955556,102.2591667
KOTA BENGKULU,11.84,13.76,82.04,Sangat Tinggi,-3.7955556,102.2591667
LAMPUNG BARAT,8.56,10.68,69.84,Sedang,-5.1490396,104.1930918
TANGGAMUS,7.38,10.28,68.52,Sedang,-5.3027489,104.5655273
LAMPUNG SELATAN,7.78,12.57,70.28,Tinggi,-5.5622614,105.5474373
LAMPUNG TIMUR,8.2,13.19,71.84,Tinggi,-5.1134995,105.6881788
LAMPUNG TENGAH,7.97,10.37,72.37,Tinggi,-4.8008086,105.3131185
LAMPUNG UTARA,8.38,16.92,69.62,Sedang,-4.8133905,104.7520939
WAY KANAN,7.75,10.43,69.31,Sedang,-4.4963689,104.5655273
TULANGBAWANG,7.65,7.88,70.66,Tinggi,-4.3176576,105.5005483
PESAWARAN,8.0,11.86,68.52,Sedang,-5.493245,105.0791228
PRINGSEWU,8.53,8.32,72.29,Tinggi,-5.3539884,104.9622498
MESUJI,7.21,6.31,66.46,Sedang,-4.0044783,105.3131185
TULANG BAWANG BARAT,7.8,7.22,68.46,Sedang,-4.5256967,105.0791228
PESISIR BARAT,8.73,12.64,66.73,Sedang,-5.1932,103.9448
KOTA BANDAR LAMPUNG,10.99,7.37,79.19,Tinggi,-5.45,105.2666667
KOTA METRO,11.01,6.78,78.93,Tinggi,-5.1166667,105.3
BANGKA,8.45,4.24,73.98,Tinggi,-2.2884782,106.0640179
BELITUNG,9.05,6.11,74.47,Tinggi,-2.8708938,107.9531836
BANGKA BARAT,7.48,2.59,70.67,Tinggi,-2.2884782,106.0640179
BANGKA TENGAH,7.24,5.94,71.9,Tinggi,-2.2884782,106.0640179
BANGKA SELATAN,6.93,3.74,68.86,Sedang,-2.2884782,106.0640179
BELITUNG TIMUR,8.99,6.36,73.19,Tinggi,-2.8708938,107.9531836
KOTA PANGKAL PINANG,10.67,4.04,80.4,Sangat Tinggi,-2.129323,106.109596
KARIMUN,8.91,5.78,74.28,Tinggi,1.05,103.3666667
BINTAN,9.15,5.44,76.18,Tinggi,1.0619173,104.5189214
NATUNA,9.2,5.04,74.56,Tinggi,3.9329945,108.1812242
LINGGA,7.6,9.99,68.19,Sedang,-0.1627686,104.6354631
KEPULAUAN ANAMBAS,7.53,6.67,70.93,Tinggi,3.2174,106.2625
KOTA BATAM,11.21,4.85,82.86,Sangat Tinggi,1.0456264,104.0304535
KOTA TANJUNG PINANG,10.67,6.86,80.63,Sangat Tinggi,0.9179205,104.446464
KEPULAUAN SERIBU,9.26,13.03,74.17,Tinggi,-5.7985266,106.5071982
KOTA JAKARTA SELATAN,11.95,3.03,86.94,Sangat Tinggi,-6.332973,106.807915
KOTA JAKARTA TIMUR,11.99,4.09,84.65,Sangat Tinggi,-6.211544,106.845172
KOTA JAKARTA PUSAT,11.61,4.63,83.01,Sangat Tinggi,-6.211544,106.845172
KOTA JAKARTA BARAT,11.24,3.94,83.64,Sangat Tinggi,-6.211544,106.845172
KOTA JAKARTA UTARA,10.85,6.44,81.39,Sangat Tinggi,-6.211544,106.845172
BOGOR,8.39,7.05,72.39,Tinggi,-6.6,106.8
SUKABUMI,7.34,6.87,68.97,Sedang,-6.92405,106.922203
CIANJUR,7.33,10.14,67.24,Sedang,-6.8172531,107.1307289
BANDUNG,9.15,6.19,74.27,Tinggi,-6.9147444,107.6098111
GARUT,7.85,9.68,68.79,Sedang,-7.227906,107.908699
TASIKMALAYA,7.97,10.23,68.36,Sedang,-7.327954,108.214104
CIAMIS,8.1,7.39,72.56,Tinggi,-7.3333333,108.35
KUNINGAN,7.9,11.88,71.26,Tinggi,-6.9833333,108.4833333
CIREBON,7.65,11.0,71.44,Tinggi,-6.715534,108.564003
MAJALENGKA,7.53,10.82,69.74,Sedang,-6.8531026,108.2258897
SUMEDANG,8.74,9.1,73.73,Tinggi,0.6095949,110.0330554
INDRAMAYU,6.95,11.93,69.83,Sedang,-6.336315,108.325104
SUBANG,7.46,9.49,71.36,Tinggi,-6.569361,107.752403
PURWAKARTA,8.14,8.41,72.65,Tinggi,-6.5386806,107.4499404
KARAWANG,8.05,7.86,72.9,Tinggi,-6.3227303,107.3375791
BEKASI,9.76,4.8,76.44,Tinggi,-6.2333333,107.0
BANDUNG BARAT,8.24,10.49,70.03,Tinggi,-6.8937121,107.4321959
PANGANDARAN,8.1,8.75,69.85,Sedang,-7.6834,108.4874
KOTA BOGOR,10.71,6.53,78.52,Tinggi,-6.6,106.8
KOTA SUKABUMI,10.38,7.2,76.85,Tinggi,-6.92405,106.922203
KOTA BANDUNG,11.07,3.87,83.52,Sangat Tinggi,-6.9147444,107.6098111
KOTA CIREBON,10.53,9.02,77.08,Tinggi,-6.715534,108.564003
KOTA BEKASI,11.79,4.01,83.54,Sangat Tinggi,-6.2333333,107.0
KOTA DEPOK,11.59,2.34,82.91,Sangat Tinggi,-6.39,106.83
KOTA CIMAHI,11.52,4.39,80.08,Sangat Tinggi,-6.880239,107.5355
KOTA TASIKMALAYA,9.63,11.1,75.04,Tinggi,-7.327954,108.214104
KOTA BANJAR,8.83,5.85,73.64,Tinggi,-7.3666667,108.5333333
CILACAP,7.4,10.68,72.38,Tinggi,-7.733333,109.0
BANYUMAS,7.91,11.95,74.52,Tinggi,-7.4832133,109.140438
PURBALINGGA,7.36,14.18,70.69,Tinggi,-7.390747,109.3638
BANJARNEGARA,6.87,14.71,69.6,Sedang,-7.402706,109.681396
KEBUMEN,7.87,15.71,71.93,Tinggi,-7.678682,109.656502
PURWOREJO,8.65,10.87,75.11,Tinggi,-7.709731,110.008003
WONOSOBO,6.9,15.28,69.82,Sedang,-7.362109,109.899399
MAGELANG,7.83,10.83,71.99,Tinggi,-7.481253,110.213799
BOYOLALI,8.17,9.63,75.96,Tinggi,-7.523819,110.595901
KLATEN,9.29,12.04,78.16,Tinggi,-7.711687,110.595497
SUKOHARJO,10.01,7.47,79.3,Tinggi,-7.6808818,110.8195292
WONOGIRI,7.68,10.71,72.55,Tinggi,-7.817782,110.920601
KARANGANYAR,9.26,9.59,78.11,Tinggi,-7.5961111,110.9508333
SRAGEN,7.88,12.41,75.53,Tinggi,-7.430229,111.021301
GROBOGAN,7.29,11.43,72.02,Tinggi,-7.0217194,110.9625854
BLORA,7.26,11.42,71.39,Tinggi,-6.95,111.4166667
REMBANG,7.73,14.02,72.53,Tinggi,-6.71124,111.345299
PATI,7.82,9.17,74.1,Tinggi,-6.751338,111.038002
KUDUS,9.35,7.23,77.22,Tinggi,-6.804087,110.838203
JEPARA,8.27,6.09,74.32,Tinggi,-6.5596059,110.6717
DEMAK,8.28,11.89,74.57,Tinggi,-6.888115,110.639297
SEMARANG,8.16,6.96,75.67,Tinggi,-6.9666667,110.4166667
TEMANGGUNG,7.53,8.67,71.87,Tinggi,-7.316669,110.174797
KENDAL,7.74,9.35,74.34,Tinggi,-6.919686,110.205597
BATANG,7.08,8.73,70.74,Tinggi,-6.8941111,109.7234519
PEKALONGAN,7.48,8.95,71.84,Tinggi,-6.882887,109.669998
PEMALANG,6.56,14.92,68.55,Sedang,-6.884234,109.377998
TEGAL,7.36,6.81,70.77,Tinggi,-6.8666667,109.1333333
BREBES,6.41,15.6,68.46,Sedang,-6.8833333,109.05
KOTA MAGELANG,11.43,5.94,82.15,Sangat Tinggi,-7.481253,110.213799
KOTA SURAKARTA,11.25,8.31,84.4,Sangat Tinggi,-7.5666667,110.8166667
KOTA SALATIGA,11.48,4.57,85.72,Sangat Tinggi,-7.302328,110.4729
KOTA SEMARANG,11.05,4.03,85.25,Sangat Tinggi,-6.9666667,110.4166667
KOTA PEKALONGAN,9.34,6.71,77.22,Tinggi,-6.882887,109.669998
KOTA TEGAL,9.28,7.64,77.43,Tinggi,-6.8666667,109.1333333
KULON PROGO,9.2,15.62,76.14,Tinggi,-7.8266798,110.1640846
BANTUL,9.81,11.66,81.74,Sangat Tinggi,-7.8846111,110.3341111
GUNUNG KIDUL,7.35,15.18,71.89,Tinggi,-8.0305091,110.6168921
SLEMAN,11.33,7.46,85.61,Sangat Tinggi,-7.716165,110.335403
KOTA YOGYAKARTA,12.12,6.26,88.77,Sangat Tinggi,-7.797224,110.368797
PACITAN,7.9,13.08,70.74,Tinggi,-8.204614,111.08769
PONOROGO,7.8,9.11,73.01,Tinggi,-7.867827,111.466003
TRENGGALEK,7.92,10.5,72.24,Tinggi,-8.05,111.7166667
TULUNGAGUNG,8.68,6.28,75.09,Tinggi,-8.0666667,111.9
BLITAR,7.87,8.16,73.09,Tinggi,-8.1,112.15
KEDIRI,8.26,9.95,74.44,Tinggi,-7.816895,112.011398
MALANG,7.8,8.98,72.68,Tinggi,-7.981894,112.626503
LUMAJANG,7.27,8.65,68.8,Sedang,-8.137022,113.226601
JEMBER,6.54,9.01,69.15,Sedang,-8.172357,113.700302
BANYUWANGI,7.78,6.54,73.11,Tinggi,-8.2186111,114.3669444
BONDOWOSO,6.53,12.6,68.65,Sedang,-7.917704,113.813483
SITUBONDO,6.93,11.51,69.75,Sedang,-7.702534,113.955605
PROBOLINGGO,6.31,16.45,68.29,Sedang,-7.756928,113.211502
PASURUAN,7.46,8.63,70.73,Tinggi,-7.644872,112.903297
SIDOARJO,10.91,4.53,82.31,Sangat Tinggi,-7.4530278,112.7173389
MOJOKERTO,9.13,9.37,75.98,Tinggi,-7.4722222,112.4336111
JOMBANG,8.78,8.6,75.1,Tinggi,-7.5468395,112.2264794
NGANJUK,8.25,10.17,74.23,Tinggi,-7.602932,111.901808
MADIUN,8.2,10.63,73.74,Tinggi,-7.629714,111.513702
MAGETAN,8.69,9.32,75.87,Tinggi,-7.6493413,111.3381593
NGAWI,7.84,13.81,73.09,Tinggi,-7.38993,111.46193
BOJONEGORO,7.59,11.69,71.78,Tinggi,0.882681,124.4669566
TUBAN,7.53,14.36,71.23,Tinggi,-8.7493146,115.1711298
LAMONGAN,8.48,12.16,75.13,Tinggi,-7.406153,109.3946794
GRESIK,10.03,10.32,78.45,Tinggi,-7.15665,112.6555
BANGKALAN,6.01,18.66,66.27,Sedang,-7.0306912,112.7450068
SAMPANG,5.08,20.83,64.65,Sedang,-7.5782556,109.2058436
PAMEKASAN,7.17,13.41,68.49,Sedang,-7.1666667,113.4666667
SUMENEP,6.1,17.78,69.26,Sedang,-6.9253999,113.9060624
KOTA KEDIRI,10.92,6.51,81.35,Sangat Tinggi,-7.816895,112.011398
