Nama_Daerah,RLS,Kemiskinan,IPM,Kategori_IPM,latitude,longitude
KOTA BLITAR,10.82,6.75,81.27,Sangat Tinggi,-8.1,112.15
KOTA MALANG,11.14,3.91,84.06,Sangat Tinggi,-7.981894,112.626503
KOTA PROBOLINGGO,9.72,6.18,76.27,Tinggi,-7.756928,113.211502
KOTA PASURUAN,9.94,6.32,77.75,Tinggi,-7.644872,112.903297
KOTA MOJOKERTO,11.38,5.57,80.92,Sangat Tinggi,-7.4722222,112.4336111
KOTA MADIUN,12.11,4.38,83.48,Sangat Tinggi,-7.629714,111.513702
KOTA SURABAYA,10.89,3.96,84.14,Sangat Tinggi,-7.289166,112.734398
KOTA BATU,9.87,3.06,78.79,Tinggi,-7.8671,112.5239
PANDEGLANG,7.16,9.18,66.99,Sedang,-6.314835,106.103897
LEBAK,6.61,8.44,65.86,Sedang,-6.5643956,106.2522143
TANGERANG,9.06,6.55,74.09,Tinggi,-6.1783056,106.6318889
SERANG,7.88,4.51,69.03,Sedang,-6.12009,106.150299
KOTA TANGERANG,11.14,5.43,80.02,Sangat Tinggi,-6.1783056,106.6318889
KOTA CILEGON,10.39,3.75,75.14,Tinggi,-6.0169825,106.040506
KOTA SERANG,8.93,5.65,73.99,Tinggi,-6.12009,106.150299
KOTA TANGERANG SELATAN,11.86,2.36,82.89,Sangat Tinggi,-6.2888889,106.7180556
JEMBRANA,8.7,4.51,74.6,Tinggi,-8.361852,114.6418
TABANAN,9.57,4.4,78.42,Tinggi,-8.544516,115.119797
BADUNG,11.14,2.23,83.87,Sangat Tinggi,-8.5819296,115.1770586
GIANYAR,9.84,4.0,79.82,Tinggi,-8.544185,115.3255
KLUNGKUNG,8.74,5.3,74.04,Tinggi,-8.5389222,115.4045111
BANGLI,7.58,5.06,71.34,Tinggi,-8.454303,115.354897
KARANGASEM,6.7,6.52,69.74,Sedang,-6.3996057,108.0503042
BULELENG,7.69,5.39,74.52,Tinggi,-8.113831,115.126999
KOTA DENPASAR,11.53,2.59,85.22,Sangat Tinggi,-8.65629,115.222099
LOMBOK BARAT,6.88,12.65,70.67,Tinggi,-8.6464599,116.1123078
LOMBOK TENGAH,6.73,12.07,69.17,Sedang,-8.694623,116.2777073
LOMBOK TIMUR,7.36,14.51,69.23,Sedang,-8.5134471,116.5609857
SUMBAWA,8.59,12.87,70.55,Tinggi,-8.6529334,117.3616476
DOMPU,9.04,11.59,70.78,Tinggi,-8.4966318,118.4747173
BIMA,8.3,13.88,68.94,Sedang,-8.460566,118.727402
SUMBAWA BARAT,8.99,12.23,73.86,Tinggi,-8.9292907,116.8910342
LOMBOK UTARA,6.4,23.96,67.24,Sedang,-8.3739076,116.2777073
KOTA MATARAM,9.58,8.0,80.6,Sangat Tinggi,-8.5833333,116.1166667
KOTA BIMA,10.96,8.12,78.04,Tinggi,-8.460566,118.727402
SUMBA BARAT,7.17,26.52,66.06,Sedang,-9.6548326,119.3947135
SUMBA TIMUR,7.77,27.04,67.68,Sedang,-9.9802103,120.3435506
KUPANG,7.62,21.37,66.57,Sedang,-10.1833333,123.5833333
TIMOR TENGAH SELATAN,7.21,24.68,64.36,Sedang,-9.7762816,124.4198243
TIMOR TENGAH UTARA,8.17,20.89,65.83,Sedang,-9.4522647,124.597132
BELU,7.5,13.86,64.43,Sedang,-9.4125796,124.9506625
ALOR,8.61,19.87,63.82,Sedang,-8.2754027,124.7298765
LEMBATA,8.27,24.22,66.62,Sedang,-8.4719075,123.4831906
FLORES TIMUR,8.06,11.25,66.29,Sedang,-8.3130942,122.9663018
SIKKA,6.99,11.89,67.41,Sedang,-8.6766175,122.1291843
ENDE,8.29,22.57,69.11,Sedang,-8.854053,121.654198
NGADA,8.83,11.87,69.52,Sedang,-8.7430424,120.9876321
MANGGARAI,7.91,19.01,67.28,Sedang,-8.6796987,120.3896651
ROTE NDAO,7.83,25.78,64.59,Sedang,-10.7386421,123.1239049
MANGGARAI BARAT,8.21,16.74,66.65,Sedang,-8.6688149,120.0665236
SUMBA TENGAH,7.23,30.84,64.31,Sedang,-9.4879226,119.6962677
SUMBA BARAT DAYA,6.39,27.2,64.27,Sedang,-9.539139,119.1390642
NAGEKEO,8.23,12.3,67.72,Sedang,-8.6753545,121.3084088
MANGGARAI TIMUR,7.96,24.9,64.2,Sedang,-8.6206712,120.6199895
SABU RAIJUA,6.99,28.13,59.58,Rendah,-10.5541116,121.8334868
MALAKA,7.14,13.92,62.73,Sedang,-9.5663,124.8943
KOTA KUPANG,11.64,8.24,81.08,Sangat Tinggi,-10.1833333,123.5833333
SAMBAS,6.76,6.53,69.31,Sedang,1.361328,109.309998
BENGKAYANG,7.41,6.0,70.3,Tinggi,0.8209729,109.477699
LANDAK,7.46,8.98,69.08,Sedang,0.4237287,109.7591675
MEMPAWAH,7.21,4.83,68.56,Sedang,-0.022523,109.330307
SANGGAU,7.47,4.67,68.43,Sedang,0.119275,110.597298
KETAPANG,7.68,8.5,69.42,Sedang,-1.859098,109.971901
SINTANG,7.65,8.03,69.42,Sedang,0.080238,111.495499
KAPUAS HULU,8.03,7.4,68.58,Sedang,-0.7931004,113.9060624
SEKADAU,7.23,5.66,67.25,Sedang,0.015637,110.888603
MELAWI,7.66,10.62,68.66,Sedang,-0.7000681,111.6660725
KAYONG UTARA,6.54,8.84,65.74,Sedang,-0.9225877,110.0449662
KUBU RAYA,7.05,4.08,70.25,Tinggi,-0.3533938,109.4735066
KOTA PONTIANAK,10.47,4.2,81.57,Sangat Tinggi,-0.022523,109.330307
KOTA SINGKAWANG,8.22,4.53,73.87,Tinggi,0.908795,108.984596
KOTAWARINGIN BARAT,8.77,4.11,74.44,Tinggi,-6.1961131,106.8630174
KOTAWARINGIN TIMUR,8.18,5.66,72.66,Tinggi,-6.1952992,106.8630737
KAPUAS,7.93,5.25,71.32,Tinggi,-0.0459972,110.1313251
BARITO SELATAN,9.22,4.83,72.36,Tinggi,-1.875943,114.8092691
BARITO UTARA,8.92,5.67,72.31,Tinggi,-0.9587136,115.094045
SUKAMARA,8.18,4.14,69.85,Sedang,-2.6267517,111.2368084
LAMANDAU,8.82,3.25,72.25,Tinggi,-1.9269166,111.1891151
SERUYAN,8.01,7.08,69.05,Sedang,-3.0123467,112.4291464
KATINGAN,8.95,5.26,70.7,Tinggi,-0.9758379,112.8105512
PULANG PISAU,8.42,4.56,70.27,Tinggi,-2.6849607,113.9536466
GUNUNG MAS,9.37,5.68,72.73,Tinggi,-6.7052778,106.9913889
BARITO TIMUR,9.54,6.66,73.26,Tinggi,-2.0123999,115.188916
MURUNG RAYA,7.94,6.58,70.03,Tinggi,-0.1362171,114.3341432
KOTA PALANGKA RAYA,11.66,3.52,82.2,Sangat Tinggi,-2.21,113.92
TANAH LAUT,7.94,3.74,71.43,Tinggi,-3.7694047,114.8092691
KOTA BARU,7.56,4.45,70.61,Tinggi,-6.332973,106.807915
BANJAR,7.95,2.36,71.87,Tinggi,-7.3666667,108.5333333
BARITO KUALA,7.92,4.36,68.84,Sedang,-3.0714738,114.6667939
TAPIN,8.15,3.33,72.51,Tinggi,-2.9160746,115.0465991
HULU SUNGAI SELATAN,8.09,3.38,71.21,Tinggi,-2.7662681,115.2363408
HULU SUNGAI TENGAH,8.35,5.81,70.69,Tinggi,-2.6153162,115.5207358
HULU SUNGAI UTARA,7.78,5.75,68.28,Sedang,-2.4421225,115.188916
TABALONG,9.15,5.64,74.41,Tinggi,-1.864302,115.5681084
TANAH BUMBU,8.43,3.41,72.95,Tinggi,-3.4512244,115.5681084
BALANGAN,8.13,4.87,71.34,Tinggi,-2.3260425,115.6154732
KOTA BANJARMASIN,10.35,4.58,79.05,Tinggi,-3.328499,114.589203
KOTA BANJAR BARU,11.0,3.79,80.51,Sangat Tinggi,-3.4666667,114.75
PASER,8.92,8.63,74.7,Tinggi,-1.7175266,115.9467997
KUTAI BARAT,8.89,9.56,74.5,Tinggi,0.1353881,115.094045
KUTAI KARTANEGARA,9.27,7.28,75.91,Tinggi,-0.1336655,116.6081653
KUTAI TIMUR,9.47,8.81,75.53,Tinggi,0.9433774,116.9852422
BERAU,9.57,5.08,76.66,Tinggi,2.0450883,117.3616476
PENAJAM PASER UTARA,8.57,6.69,73.9,Tinggi,-1.2917094,116.5137964
MAHAKAM ULU,8.5,10.75,70.35,Tinggi,-0.9701,114.7302
KOTA BALIKPAPAN,10.99,2.23,82.24,Sangat Tinggi,-1.2635389,116.8278833
KOTA SAMARINDA,10.95,4.3,82.81,Sangat Tinggi,-0.502183,117.153801
KOTA BONTANG,10.97,3.74,82.42,Sangat Tinggi,0.1333333,117.5
MALINAU,9.63,6.94,73.9,Tinggi,3.584221,116.647797
BULUNGAN,9.23,8.76,73.34,Tinggi,2.9042476,116.9852422
TANA TIDUNG,9.24,4.47,70.08,Tinggi,3.551869,117.0794082
NUNUKAN,8.39,5.73,68.52,Sedang,4.0609227,117.666952
KOTA TARAKAN,10.37,5.56,77.96,Tinggi,3.3,117.6333333
BOLAANG MONGONDOW,8.38,7.74,70.29,Tinggi,0.6870994,124.0641419
MINAHASA,10.23,6.53,77.74,Tinggi,1.0,124.5833333
KEPULAUAN SANGIHE,8.65,10.84,72.71,Tinggi,3.5303212,125.5438967
KEPULAUAN TALAUD,9.96,8.17,71.77,Tinggi,4.092,126.768
MINAHASA SELATAN,9.43,8.97,74.17,Tinggi,1.0946773,124.4641848
MINAHASA UTARA,10.35,6.95,75.89,Tinggi,1.5327973,124.994751
BOLAANG MONGONDOW UTARA,8.61,7.88,69.32,Sedang,0.818691,123.5280072
SIAU TAGULANDANG BIARO,9.43,8.32,70.31,Tinggi,2.345964,125.4124355
MINAHASA TENGGARA,9.14,11.72,72.66,Tinggi,1.0278551,124.7298765
BOLAANG MONGONDOW SELATAN,8.28,11.33,67.14,Sedang,0.4053215,123.8411288
BOLAANG MONGONDOW TIMUR,8.29,5.87,68.53,Sedang,0.7152651,124.4641848
KOTA MANADO,11.46,5.43,80.63,Sangat Tinggi,1.4917014,124.842843
KOTA BITUNG,9.96,6.27,75.71,Tinggi,1.4553529,125.204697
KOTA TOMOHON,11.03,5.38,78.89,Tinggi,1.3234131,124.8384504
KOTA KOTAMOBAGU,10.35,5.12,75.27,Tinggi,0.7333333,124.3166667
BANGGAI KEPULAUAN,8.7,12.32,67.43,Sedang,-1.6408137,123.5504076
BANGGAI,8.81,6.56,72.32,Tinggi,-1.6408137,123.5504076
MOROWALI,9.38,11.55,73.54,Tinggi,-2.3003072,121.5370003
POSO,9.54,14.23,72.87,Tinggi,-1.391922,120.766998
DONGGALA,8.0,15.3,67.45,Sedang,-0.4233155,119.8352303
TOLI-TOLI,8.91,12.45,68.37,Sedang,0.8768231,120.7579834
BUOL,9.2,13.08,70.28,Tinggi,0.9695452,121.3541631
PARIGI MOUTONG,8.05,14.2,67.49,Sedang,0.5817607,120.8039474
TOJO UNA-UNA,8.56,16.36,66.97,Sedang,-1.098757,121.5370003
SIGI,9.04,12.06,70.51,Tinggi,-1.3834127,120.0665236
BANGGAI LAUT,8.65,13.78,67.43,Sedang,-1.5976,123.5133
MOROWALI UTARA,9.13,11.95,70.58,Tinggi,-1.9904,121.3326
KOTA PALU,11.75,5.94,82.88,Sangat Tinggi,-0.898583,119.850601
KEPULAUAN SELAYAR,8.49,10.79,70.03,Tinggi,-6.0,120.5
BULUKUMBA,8.52,6.71,71.97,Tinggi,-5.4329368,120.2051096
BANTAENG,7.26,8.26,71.48,Tinggi,-5.5169316,120.0202964
JENEPONTO,7.01,11.82,66.38,Sedang,-5.554579,119.6730939
TAKALAR,7.73,7.75,69.47,Sedang,-5.4162493,119.4875668
GOWA,8.53,6.85,72.26,Tinggi,-5.3102888,119.742604
SINJAI,7.82,7.82,69.52,Sedang,-5.2171961,120.112735
MAROS,8.05,9.32,72.11,Tinggi,-4.94695,119.578903
PANGKAJENE DAN KEPULAUAN,8.47,12.41,71.22,Tinggi,-4.805035,119.5571677
BARRU,8.8,8.31,73.06,Tinggi,-4.4172651,119.6730939
BONE,7.55,9.58,68.36,Sedang,-2.083333,120.216667
SOPPENG,8.45,6.9,71.39,Tinggi,-4.3518541,119.9277947
WAJO,7.46,6.47,71.52,Tinggi,-4.022229,120.0665236
SIDENRENG RAPPANG,8.21,5.02,73.21,Tinggi,-3.7738981,120.0202964
PINRANG,8.53,8.55,73.55,Tinggi,-3.793071,119.6408
ENREKANG,9.11,11.25,74.61,Tinggi,-3.563128,119.7612
LUWU,8.81,11.7,72.79,Tinggi,-3.3052214,120.2512728
TANA TORAJA,8.77,10.79,71.67,Tinggi,-3.0753003,119.742604
LUWU UTARA,8.37,11.24,72.07,Tinggi,-2.2690446,119.9740534
LUWU TIMUR,8.94,6.55,74.95,Tinggi,-2.5825518,121.1710389
TORAJA UTARA,8.54,10.73,71.85,Tinggi,-2.8621942,119.8352303
KOTA MAKASSAR,11.57,4.97,83.9,Sangat Tinggi,-5.1333333,119.4166667
KOTA PAREPARE,10.88,5.27,79.64,Tinggi,-4.0166667,119.6236111
KOTA PALOPO,11.16,7.35,79.94,Tinggi,-3.0,120.2
BUTON,8.63,13.99,68.88,Sedang,-5.3096355,122.9888319
MUNA,8.71,13.78,71.05,Tinggi,-4.901629,122.6277455
KONAWE,9.69,13.25,73.39,Tinggi,-3.9380432,122.0837445
KOLAKA,9.38,11.67,75.18,Tinggi,-4.049665,121.593803
KONAWE SELATAN,8.76,11.2,71.19,Tinggi,-4.2027915,122.4467238
BOMBANA,8.1,10.54,68.15,Sedang,-4.6543462,121.9017954
WAKATOBI,8.53,14.36,72.02,Tinggi,-5.3264442,123.5951925
KOLAKA UTARA,8.82,13.51,71.7,Tinggi,-3.1347227,121.1710389
BUTON UTARA,9.24,14.09,70.6,Tinggi,-4.7023424,123.0338767
KONAWE UTARA,9.61,13.17,72.32,Tinggi,-3.3803291,122.0837445
KOLAKA TIMUR,8.43,13.71,70.27,Tinggi,-4.1039,121.9022
KONAWE KEPULAUAN,9.46,15.54,67.99,Sedang,-4.1351,123.0487
MUNA BARAT,8.09,13.38,68.06,Sedang,-4.8166,122.4411
BUTON TENGAH,7.35,14.4,66.47,Sedang,-5.2891,122.4283
BUTON SELATAN,7.75,14.28,67.0,Sedang,-5.6726,122.6074
KOTA KENDARI,12.55,4.23,85.33,Sangat Tinggi,-3.972201,122.5149028
KOTA BAUBAU,11.03,7.4,78.13,Tinggi,-5.46667,122.633
KABUPATEN GORONTALO,8.29,14.57,71.23,Tinggi,0.5333333,123.0666667
BOALEMO,7.31,17.83,68.74,Sedang,0.7013419,122.2653887
GORONTALO,7.95,16.43,69.66,Sedang,0.5333333,123.0666667
POHUWATO,7.78,17.11,68.02,Sedang,0.7055278,121.7195459
BONE BOLANGO,8.52,14.8,72.38,Tinggi,0.5657885,123.3486147
GORONTALO UTARA,7.4,16.86,67.46,Sedang,0.9252647,122.4920088
KOTA GORONTALO,10.41,5.74,79.18,Tinggi,0.5333333,123.0666667
MAJENE,9.46,13.64,69.42,Sedang,-3.0297251,118.9062794
POLEWALI MANDAR,7.72,15.66,66.22,Sedang,-3.3419323,119.1390642
MAMASA,8.13,14.2,68.37,Sedang,-2.960135,119.368202
MAMUJU,8.35,7.15,70.4,Tinggi,-2.7293364,118.9295737
MAMUJU UTARA,8.13,5.21,69.73,Sedang,-1.5264542,119.5107708
MAMUJU TENGAH,7.94,7.72,68.36,Sedang,-2.0722,119.4316
MALUKU TENGGARA BARAT,9.92,23.66,64.83,Sedang,-7.5322642,131.3611121
MALUKU TENGGARA,9.84,21.22,68.24,Sedang,-5.7512455,132.7271587
MALUKU TENGAH,9.79,17.67,73.21,Tinggi,-3.0166501,129.4864411
BURU,9.02,16.08,71.01,Tinggi,-3.3927754,126.7819505
KEPULAUAN ARU,9.21,23.39,65.83,Sedang,-6.1946502,134.5501935
SERAM BAGIAN BARAT,9.59,22.31,68.39,Sedang,-3.1271575,128.4008357
SERAM BAGIAN TIMUR,9.0,21.03,66.24,Sedang,-3.4150761,130.390488
MALUKU BARAT DAYA,9.13,27.95,64.86,Sedang,-7.7851588,126.3498097
BURU SELATAN,8.48,14.91,67.09,Sedang,-3.3927754,126.7819505
KOTA AMBON,12.24,5.13,82.56,Sangat Tinggi,-3.65607,128.166419
KOTA TUAL,10.67,20.01,70.21,Tinggi,-5.640851,132.7475093
HALMAHERA BARAT,8.59,8.75,67.53,Sedang,1.3121235,128.4849923
HALMAHERA TENGAH,9.2,10.71,68.45,Sedang,1.3121235,128.4849923
KEPULAUAN SULA,9.17,7.96,65.99,Sedang,-1.8666667,125.3666667
HALMAHERA SELATAN,8.42,5.63,66.66,Sedang,1.3121235,128.4849923
HALMAHERA UTARA,8.67,4.71,69.78,Sedang,1.3121235,128.4849923
HALMAHERA TIMUR,8.88,11.91,69.58,Sedang,1.3121235,128.4849923
PULAU MOROTAI,7.73,5.11,65.68,Sedang,2.3275,128.4116
PULAU TALIABU,7.99,7.13,62.9,Sedang,-1.8219,124.8329
KOTA TERNATE,12.08,3.14,82.12,Sangat Tinggi,0.7833333,127.3666667
KOTA TIDORE KEPULAUAN,10.12,6.56,72.91,Tinggi,0.6833333,127.4
FAKFAK,9.32,20.86,70.39,Tinggi,-2.885237,132.2658282
KAIMANA,8.97,14.41,67.6,Sedang,-3.660925,133.774506
TELUK WONDAMA,7.38,28.47,62.36,Sedang,-2.8551699,134.3236557
TELUK BINTUNI,8.67,26.99,66.75,Sedang,-1.9056848,133.329466
MANOKWARI,8.67,18.45,73.83,Tinggi,-0.8614531,134.0620421
MANOKWARI SELATAN,7.17,26.83,62.45,Sedang,-1.2291,134.1166
PEGUNUNGAN ARFAK,5.72,31.76,58.73,Rendah,-1.3533,133.8242
RAJA AMPAT,8.4,15.83,65.86,Sedang,-1.0915151,130.8778586
SORONG,8.74,25.71,68.29,Sedang,-0.8666667,131.25
SORONG SELATAN,7.76,17.83,64.5,Sedang,-0.8666667,131.25
MAYBRAT,7.44,29.18,61.83,Sedang,3.1472,101.6997
TAMBRAUW,5.89,29.88,56.32,Rendah,-0.781856,132.3938375
KOTA SORONG,11.57,13.67,79.93,Tinggi,-0.8666667,131.25
JAYAPURA,10.57,11.6,74.11,Tinggi,-2.533,140.717
KEPULAUAN YAPEN,9.71,25.69,69.65,Sedang,-1.7469359,136.1709012
BIAK NUMFOR,10.55,23.46,73.98,Tinggi,-1.0381022,135.9800848
SARMI,9.61,14.05,66.72,Sedang,-1.868727,138.743607
KEEROM,8.58,15.84,68.68,Sedang,-3.3449536,140.7624493
WAROPEN,9.42,29.85,66.92,Sedang,-2.8435717,136.670534
SUPIORI,9.21,37.72,65.15,Sedang,-0.7295099,135.6385125
MAMBERAMO RAYA,6.49,30.29,55.0,Rendah,-2.5331255,137.7637565
KOTA JAYAPURA,12.07,10.72,81.67,Sangat Tinggi,-2.533,140.717
MERAUKE,9.37,10.19,72.73,Tinggi,-8.4960406,140.3945527
BOVEN DIGOEL,9.42,19.24,64.26,Sedang,-5.7400018,140.3481835
MAPPI,7.16,25.7,61.51,Sedang,-7.102232,139.396393
ASMAT,5.82,24.5,53.92,Rendah,-5.0573958,138.3988186
MIMIKA,10.72,14.18,76.85,Tinggi,-4.4553223,137.1362125
DOGIYAI,4.98,30.03,57.68,Rendah,-4.0193872,135.9610446
DEIYAI,3.29,39.01,52.07,Rendah,-4.0974893,136.4393054
NABIRE,10.42,24.0,71.77,Tinggi,-3.5095462,135.7520985
PANIAI,4.81,37.07,58.69,Rendah,-3.7876441,136.3624686
INTAN JAYA,3.28,41.42,50.71,Rendah,-3.5076422,136.7478493
PUNCAK,2.39,37.49,45.6,Rendah,-6.7125476,106.9542425
PUNCAK JAYA,4.42,35.94,51.78,Rendah,-4.0836111,137.1847222
NDUGA,1.92,36.28,36.3,Rendah,-4.4069496,138.2393528
JAYAWIJAYA,5.99,32.28,61.03,Sedang,-4.0004481,138.7995122
LANNY JAYA,3.83,34.12,51.59,Rendah,-3.971033,138.3190276
TOLIKARA,3.69,31.22,52.05,Rendah,-3.481132,138.4787258
MAMBERAMO TENGAH,3.7,35.27,50.72,Rendah,-2.3745692,138.3190276
YALIMO,3.55,30.02,51.85,Rendah,-3.7852847,139.4466005
YAHUKIMO,4.35,33.82,51.98,Rendah,-4.4939717,139.5279996
PEGUNUNGAN BINTANG,3.51,28.95,49.36,Rendah,-4.5589872,140.5135589
